,MES_REFERENCIA,MEETING_DURATION
0,2019-01-01,107.66666666666667
1,2019-02-01,74.53333333333329
2,2019-03-01,138.38333333333333
3,2019-04-01,143.24999999999994
4,2019-05-01,190.25000000000003
5,2019-06-01,163.08333333333331
6,2019-07-01,126.00000000000004
7,2019-08-01,175.49999999999997
8,2019-09-01,89.08333333333336
9,2019-10-01,164.33333333333337
10,2019-11-01,146.83333333333337
11,2019-12-01,123.41666666666664
12,2020-01-01,135.0333333333333
13,2020-02-01,98.83333333333336
14,2020-03-01,141.74999999999997
15,2020-04-01,124.5
16,2020-05-01,117.41666666666663
17,2020-06-01,97.80000000000004
18,2020-07-01,74.58333333333334
19,2020-08-01,116.91666666666667
20,2020-09-01,121.0
21,2020-10-01,113.00000000000001
22,2020-11-01,104.81666666666663
23,2020-12-01,82.8
24,2021-01-01,71.41666666666669
25,2021-02-01,98.83333333333331
